W1,W2,R,t,sigma_max,mass,runtime
0.4077988489,0.1791506751,0.0403276429,0.0119683274,94.295352,17.392166,13.15199995
0.5834786463,0.1426994446,0.0448512179,0.0110104335,65.402664,38.113405,19.76800013
0.4487122638,0.1432713078,0.0463951130,0.0120709015,64.748812,23.632435,14.19400001
0.4869422315,0.1740484336,0.0561528078,0.0175645816,47.790392,39.361573,15.23799992
0.5674267488,0.1742411126,0.0414266444,0.0106037420,81.762328,33.437835,19.86299992
0.4024903254,0.1310598193,0.0444714336,0.0161115957,47.865156,25.273600,13.01999998
0.4710387091,0.1154605262,0.0426304571,0.0178440755,37.791448,40.265379,15.44300008
0.5058994205,0.1362087787,0.0535644231,0.0117098610,58.287352,30.098662,17.70500016
0.5572684531,0.1499717188,0.0560532544,0.0134651030,51.664452,41.988144,19.84999990
0.4151106758,0.1050583308,0.0585985808,0.0164161860,36.233936,28.724688,13.26399994
0.5762201406,0.1447952783,0.0433541867,0.0198404722,37.210180,66.740318,19.85599995
0.5965749730,0.1835093376,0.0535317305,0.0140064967,57.581256,48.836210,22.08000016
0.4333970767,0.1950360784,0.0403086445,0.0188767456,63.519284,30.609407,12.98000002
0.4871955883,0.1594013284,0.0587377522,0.0169859364,44.784696,39.017792,15.66199994
0.5826706581,0.1660298882,0.0447918879,0.0109529571,72.990384,36.950820,21.73200011
0.4691203444,0.1684925298,0.0537373508,0.0179485860,46.981532,37.277092,15.34399986
0.5958296187,0.1770729425,0.0577045288,0.0147258276,51.862204,51.587888,21.82999992
0.4597034925,0.1303848113,0.0531937193,0.0135133636,50.776148,28.449560,15.12500000
0.5838864865,0.1726062389,0.0578381985,0.0162844516,46.114608,54.845428,19.86599994
0.4577929572,0.1119625077,0.0497216559,0.0104302708,60.886100,22.255578,15.51199985
0.5016281482,0.1459271179,0.0462424163,0.0132042505,57.388324,32.912726,17.36199999
0.5382345245,0.1605432543,0.0515178481,0.0118161787,64.896284,33.753055,17.64700007
0.5932642236,0.1525026835,0.0597239607,0.0176411093,38.340004,62.772097,21.86800003
0.4666316613,0.1605164788,0.0579442069,0.0100108759,78.541576,20.834245,15.34200001
0.4664773938,0.1519004227,0.0581462809,0.0135906312,54.985564,28.659002,15.16100001
0.4363557430,0.1760570840,0.0507838019,0.0167383947,56.954404,28.917383,13.19899988
0.4903450541,0.1000648941,0.0552772141,0.0155704968,36.374132,38.858900,15.45700002
0.5629967179,0.1978873735,0.0483575422,0.0190344827,48.537620,57.212391,20.35899997
0.5138689324,0.1856703174,0.0464542445,0.0129841434,71.547464,32.259753,17.48399997
0.4787411671,0.1299462188,0.0450053733,0.0126569183,56.472264,29.080675,15.40000010
0.5674089480,0.1841074273,0.0487672248,0.0125319680,68.383728,39.056275,19.57799983
0.5186968184,0.1670218335,0.0408709318,0.0176609493,49.440692,46.064923,17.46799994
0.5216153423,0.1275764569,0.0406725383,0.0135859584,52.380732,37.586201,17.55900002
0.4803856366,0.1741508610,0.0486371089,0.0124147468,71.845544,26.943160,15.67199993
0.4449688941,0.1021114613,0.0475131279,0.0191514985,31.963088,38.896585,15.23799992
