W1,W2,R,t,sigma_max,mass,runtime
0.5474331682,0.1966030104,0.0442799804,0.0175932245,54.87426,49.677494,17.875
0.568503299136479,0.123682706275453,0.0498268908240396,0.01149033297649,55.76222,38.274976637055,29.97099996
0.5488211881,0.1215081479,0.0471020739,0.0137537074,47.127628,42.618601,42.34200001
0.5057819141,0.1839991208,0.0598856618,0.0129122225,65.519256,31.060046,15.42700005
0.570952122857486,0.172507794470646,0.0598537185106338,0.0106132626453695,70.64572,34.0426647270659,31.0480001
0.5416662595,0.1903853258,0.0580049784,0.0145581337,58.260384,40.545572,19.97900009
0.416490508022857,0.196033285233133,0.0481383498247169,0.0183092574086311,64.705104,26.8002119037275,20.78299999
0.5409835205,0.1098026578,0.0530896983,0.0128755225,45.959696,39.104033,20.73600006
0.418827084365212,0.157727965640367,0.0428422457481203,0.0107549658812796,85.551512,17.5312892394797,24.17199993
0.4409127328,0.1396148739,0.0472180731,0.0113723823,67.330024,21.541726,15.7249999
0.565976977768443,0.124494677294031,0.0489840921936877,0.0153173624478616,42.037332,50.5126197646942,29.65499997
0.5116651472,0.1846072999,0.0447258903,0.0106709301,88.047544,26.293461,32.16700006
0.4830222194,0.1195387084,0.0562602578,0.0107290957,58.307572,25.457595,15.71899986
0.5060326835,0.1011803505,0.0504784017,0.0154881452,37.6711,41.212205,33.51200008
0.4705561621,0.1080645264,0.0531376377,0.011538482,52.263912,26.213031,15.5079999
0.46021145,0.1614080625,0.0581284558,0.0149432751,53.274896,30.093441,15.42000008
0.4786330264,0.1197723041,0.0472888874,0.0154846843,42.963496,35.992909,15.44599986
0.5471898791,0.1417181755,0.0433879758,0.0152724758,48.377112,46.14054,19.66000009
0.5799157948,0.1905644744,0.0413656652,0.0132121668,70.119528,42.858036,48.30200005
0.4088151209,0.1344156697,0.0471615412,0.0172525559,44.54114,27.863346,13.51100016
0.4087945063,0.1745842928,0.0545241794,0.0124345084,78.094408,18.434527,13.02199984
0.5441802511,0.1847325078,0.0488919336,0.0133356393,65.807744,37.809279,19.68899989
0.401274234694122,0.10593048153336,0.0439641656032184,0.0125880901266985,52.54712,20.4218726337922,21.46600008
0.509015699535711,0.102803770618518,0.0500004242430098,0.0118505235057856,49.694772,31.8767316254587,27.26300001
0.4228174945,0.1019753886,0.046718356,0.0180350275,34.500012,32.887155,13.32599998
0.4203750108,0.1464048582,0.0556326026,0.0199675124,38.787632,33.629395,15.59200001
0.593451678366301,0.119559234282872,0.0543414535127487,0.0132002932631201,45.83148,48.2610824104104,32.46300006
0.470934110342336,0.188748690693397,0.0487479086591691,0.0124598675994932,79.432504,25.1185779999141,25.35800004
0.451518074896205,0.162862195940602,0.0502098569132615,0.0144212940523701,59.370128,27.7056614888622,22.95700002
0.480216154005606,0.121824700854315,0.0555777294315175,0.0172908287686263,36.825232,40.4161902745093,25.921
0.5911483705,0.1314323115,0.0484328205,0.0196839982,33.691572,70.724639,22.00999999
0.511352147661074,0.135406036407826,0.0525623141099046,0.0172750565562855,39.453368,45.4745575229142,27.5150001
0.443111403062864,0.188548043827125,0.0404818381526038,0.0159707435104437,69.812368,27.7956350981926,23.37599993
0.581456393230668,0.108042447038345,0.0515088254609163,0.0103231847073881,56.776136,36.4559922049751,31.06299996
0.5221644866,0.1960820129,0.0447182266,0.0117910552,83.915904,29.879439,17.72300005
0.525060310540964,0.11600906417398,0.0516715976084119,0.0177217562248655,34.961664,50.2992105724979,29.78999996
0.4206980497,0.1692703442,0.0560222695,0.0150543211,59.7896,24.226702,13.18700004
0.4022483257,0.1327610241,0.0497699279,0.0138198167,54.325232,21.59852,13.36199999
0.5176850699,0.1041676928,0.0507078341,0.0107573271,54.740728,29.939214,50.89299989
0.5432141614,0.1807676294,0.0475378174,0.0105506999,82.34888,29.955635,17.94799995
0.529161515,0.1559812377,0.0478914801,0.0146055096,52.947244,40.408755,19.79500008
0.5162143107,0.1492048518,0.0596317855,0.0156410566,44.676004,41.38256,17.95599985
0.45937819116195,0.143267544156099,0.0454171015370223,0.0165795287328869,47.07782,34.1904744172992,25.023
0.553334440301629,0.191436673347244,0.0533318029682074,0.0175825451213066,49.525828,51.297550500632,27.7650001
0.5035993031,0.1353653695,0.054559083,0.0162260917,41.772344,41.344319,17.63100004
0.5280406034,0.1051416174,0.0543423133,0.0181238405,31.832038,52.537085,19.70300007
0.4282065721,0.1509496617,0.0583082174,0.0178782782,43.314448,31.14558,13.07200003
0.56898778659452,0.197113970340979,0.0509233520236816,0.0112921946005972,79.246472,34.8122168560513,29.64700007
0.5191319344,0.1726315934,0.047978499,0.0113229552,75.055048,29.372371,17.38000011
0.486024891733627,0.148395290192577,0.052765292556803,0.0141443572296778,52.483532,32.8121144618044,25.35599995
0.529651388114532,0.168548882442652,0.0416341596717693,0.0169708551813726,51.03094,46.2783964663809,27.5059998
0.562828144567709,0.159668902689507,0.0593358454849521,0.0184935985364829,38.500432,58.3287863384353,29.42599988
