Cutting Speed (m/min)	Feed Rate (mm/rev)
62.483570765056164	0.1293129753784311
59.308678494144075	0.0954844739902693
63.23844269050346	0.10135056409375848
67.61514928204012	0.07150503627573088
58.82923312638332	0.08911234550949636
58.8293152152541	0.10221845179419732
67.89606407753696	0.07698012845155394
63.837173645764544	0.10751396036691345
57.65262807032524	0.0879872262016239
62.712800217929825	0.09416612500413447
57.68291153593769	0.08796586775541207
57.671351232148716	0.13704556369017876
61.20981135783017	0.09973005550524133
50.43359877671101	0.078845781420882
51.375410837434835	0.11645089824206378
57.188562353795135	0.07558312700057956
54.93584439832788	0.10417727190009511
61.57123666297637	0.06080659752240449
55.45987962239394	0.0734362790220314
52.93848149332354	0.10393722471738248
148.90164056081244	0.17169258515899172
151.78556285755874	0.19158709354469283
157.38947022370758	0.19314570966946462
147.40864890863176	0.18395445461556764
145.95753198553408	0.19677428576667982
147.49121478207732	0.2080810171362908
154.57701058851038	0.2377237180242106
151.64375554829843	0.20349155625663679
147.3511989811648	0.2051510078144553
152.56633716556678	0.19851108168467665
150.4853877467402	0.16162457569401917
154.84322495266446	0.19946972249101566
146.48973453061325	0.20120460419882055
148.36168926701117	0.24926484224970574
148.0394592343392	0.19615278070437756
142.6824252593394	0.20603094684667225
151.48060138532287	0.19930576460589514
151.30527636089946	0.17662643924760937
150.0255672832123	0.22285645629030043
148.82706433312427	0.2150386606537355
195.12659164886338	0.3125133469553001
203.93542301871227	0.28285684887167434
205.792977895037	0.27858215003877773
195.89658840824146	0.3096494483048637
204.81688064622162	0.29553074429348297
202.0639046346825	0.31428000988184185
204.11030079997244	0.3094647524914709
209.48396491326974	0.29854342174686255
198.77305941998566	0.28306412563863187
196.23131917821254	0.2697030555062827
195.55242785187238	0.2910697009586596
195.92094857517282	0.31712797588646946
199.61449145292949	0.30428187488260405
201.7057598740832	0.2750852244257602
201.3834539966501	0.30346361851702364
204.1359162451801	0.3077063475945767
200.06500945938953	0.28232285127597734
207.26767038578657	0.30307450211891057
198.67671583381022	0.30116417436892
213.6008458329481	0.27714059404338753
