Yield Strength (MPa)	Ultimate Tensile Strength (MPa)
434.76999071078626	1449.3941223683125
390.3214989180171	1408.845199169902
445.33819766704846	1528.2822599335746
506.6120899485618	1418.277833203091
383.60926376936646	1372.8926668798238
383.6104130135574	1631.9083892029398
510.5448970855174	1479.6801329562118
453.7204310407036	1506.0775384219132
367.1367929845534	1371.772663240789
437.9792030510175	1451.0055547927336
367.56076150312765	1509.983033073888
367.39891725008204	1396.4105780319928
416.9373590096224	1533.8128216511104
266.07038287395414	1445.9425179073075
279.2557517240877	1473.747562518605
1207.8805371439423	785.2140212444763
1379.6594729156257	808.5425106136191
1249.0551942683446	945.1410003597024
1175.960234973087	880.9256460611615
1307.5781438472231	691.3263860173539
1164.5409445020284	879.1675572455315
1264.6204516503328	815.3425947625315
1112.8230913284158	789.0770199724637
1157.02697657711	905.0508659956781
1263.7802865108386	942.7899570246356
1301.6926605996787	933.8152107204579
1261.995779683298	774.4704229099625
1241.9046202328232	822.1708861733907
1228.92274130875	879.8137088263207
1146.5034606742802	937.7990614410123
766.4578033508297	1373.97122539377
787.0038716335328	1307.8342361414354
722.5565518195781	1273.089338458072
716.2655363143531	1308.2584698881951
856.8768075675939	1121.1187976859196
894.9368019999577	1280.229530094624
794.9592914893766	1332.1401314360571
870.2473028524416	1433.0104640267364
825.3145217533344	1253.3556803553718
754.8416171776413	1227.235575739613
825.297692385589	1254.8418660773916
907.6625596526178	1382.3861905931867
797.4921772623034	1329.5875998693716
909.5250559069805	1252.3215816609666
616.6178427137179	1346.194068980202
1006.7954284543629	636.3645771133084
1067.8051493373023	769.7567311089477
950.8562834285854	615.7120031548656
977.0636497381562	623.1795351650488
972.5524292807489	593.299867581045
897.5539536307517	427.3105906230862
1020.7284193945203	597.6137512095705
1018.2738690525922	605.4207188946924
1000.3579419649723	821.6917901236758
983.5789006637397	582.687513169699
900.9240480564711	627.1392608100251
970.5548274064249	596.8759407265281
976.0099838431262	494.8189766142421
943.8405911544867	702.8540533063518
988.7100001833794	667.6739729418097
655.3722362930133	1039.4940964515786
536.3428781643682	829.5072036897386
698.1956017655269	871.0144635414892
501.87042560454034	973.2165495632703
641.079996566019	789.222211520944
753.3318938066985	920.4713941143716
530.6624572408518	1017.6428478854185
560.359158927806	755.3265088894896
606.9755955561349	916.6170472679074
564.756704211866	923.3894514823581
491.4535598253707	970.364058459958
604.7994082364219	788.6744360209726
525.6387400391727	781.1589048224151
633.1514701444627	946.9747409055208
535.6403036036338	926.7286205909868
