Diameter Deviation (mm)	Length Deviation (mm)
0.04967141530112327	-0.021967188783751194
-0.013826430117118467	0.035711257151174645
0.06476885381006925	0.14778940447415162
0.15230298564080255	-0.05182702182736474
-0.023415337472333597	-0.08084936028931877
-0.023413695694918055	-0.05017570435845366
0.15792128155073915	0.09154021177020742
0.07674347291529088	0.03287511096596845
-0.04694743859349521	-0.05297602037670388
0.05425600435859647	0.05132674331133561
-0.046341769281246226	0.009707754934804039
-0.04657297535702569	0.09686449905328892
0.02419622715660341	-0.07020530938773524
-0.1913280244657798	-0.032766214659776825
-0.1724917832513033	-0.03921081531321577
-0.05622875292409727	-0.14635149481321186
-0.10128311203344238	0.029612027706457607
0.03142473325952739	0.026105527217988936
-0.0908024075521211	0.000511345664246089
-0.14123037013352915	-0.023458713337514692
0.14656487689215542	-0.14153707420504144
-0.02257763004865357	-0.04206453227653591
0.006752820468792384	-0.03427145165267695
-0.14247481862134567	-0.0802277269221619
-0.05443827245251827	-0.016128571166600915
0.01109225897098661	0.040405085681453845
-0.11509935774223029	0.18861859012105303
0.0375698018345672	0.017457781283183895
-0.0600638689918805	0.02575503907227644
-0.02916937497932768	-0.007444591576616722
-0.060170661222939695	-0.19187712152990416
0.18522781845089378	-0.002651387544921688
-0.0013497224737933921	0.006023020994102644
-0.10577109289559004	0.24632421124852863
0.08225449121031891	-0.019236096478112252
-0.12208436499710223	0.03015473423336125
0.020886359500475543	-0.0034711769705243313
-0.19596701238797756	-0.11686780376195322
-0.13281860488984307	0.11428228145150206
0.019686123586912352	0.07519330326867742
0.07384665799954104	0.0791031947043047
0.01713682811899705	-0.09093874547947389
-0.011564828238824054	0.14027943109360994
-0.03011036955892888	-0.1401851062792281
-0.14785219903674274	0.05868570938002703
-0.07198442083947086	0.21904556258099786
-0.046063877095978756	-0.09905363251306884
0.10571222262189157	-0.05662977296027719
0.03436182895684614	0.009965136508764122
-0.1763040155362734	-0.05034756541161992
0.0324083969394795	-0.15506634310661327
-0.038508228041631655	0.006856297480602733
-0.06769220003059588	-0.10623037137261049
0.06116762888408679	0.04735924306351816
0.1030999522495951	-0.09194242342338033
0.09312801191161986	0.15499344050175395
-0.08392175232226386	-0.07832532923362372
-0.03092123758512146	-0.03220615162056756
0.033126343140356396	0.08135172173696698
0.09755451271223592	-0.12308643164339553
-0.047917423784529	0.022745993460412943
-0.01856589766638171	0.13071427542824282
-0.11063349740060283	-0.16074832345612278
-0.11962066240806708	0.018463385853230423
0.08125258223941981	0.025988279424842355
0.1356240028570823	0.07818228717773104
-0.007201012158033385	-0.1236950710878082
0.10035328978920242	-0.13204566130842763
0.036163602504763415	0.05219415656168977
-0.06451197546051243	0.029698467323318607
0.036139560550841394	0.025049285034587657
0.15380365664659693	0.03464482094969757
-0.003582603910995154	-0.06800247215784909
0.15646436558140064	0.023225369716100355
-0.26197451040897446	0.029307247329868127
0.08219025043752239	-0.07143514180263678
0.008704706823817123	0.18657745111447566
-0.029900735046586746	0.04738329209117875
0.00917607765355023	-0.11913034972026487
-0.1987568914600893	0.06565536086338297
0.21217922134753586	-0.609514024403911
-0.26275091250319993	0.44490423052301065
-0.17460030184073227	-0.4384552751182884
0.24649140511802414	-0.9513680671370923
0.14963289904721466	0.29094459181433563
0.34922341049417793	-0.6457786411859021
0.15761289230034337	0.8809171687058286
0.06830860333547162	0.9078571540051747
-0.4063252321719075	0.829728780440897
-0.13228419694056648	-0.2596825994891112
-0.23479763231827455	-0.9690867669422651
-0.2560103566209164	0.8566371251754508
0.4730105547524456	-0.14363170336537134
-0.1069022753332396	0.9333096380873391
0.3920465551771133	0.9272399541785057
0.1311386259972629	0.7060189109347201
0.2948113035416484	-0.4111022158608286
0.002637093105192112	-0.22980454279614948
0.07690388462635911	0.7022733430337138
-0.0074823061811361	-0.36615598968744467
