UTS (MPa)	Elongation (%)	Failure Mode
1124.8357076505617	2.8769438869243786	0
1093.0867849414408	4.369032015851961	0
1132.3844269050346	4.485928225209846	0
1176.1514928204012	3.796584096167572	0
1088.2923312638331	4.758071432500986	0
1088.2931521525409	5.606076285221808	0
1178.9606407753695	7.829278851815795	0
1138.3717364576455	5.261866719247759	0
1076.5262807032525	5.386325586084147	0
1127.1280021792982	4.888331126350749	0
1076.8291153593768	2.1218431770514377	0
1076.713512321487	4.960229186826175	0
1112.0981135783018	5.09034531491154	0
1004.33598776711	8.69486316872793	0
1013.7541083743483	4.711458552828316	0
1071.8856235379515	5.452321013500419	0
1049.358443983279	4.947932345442135	0
1115.7123666297637	3.246982943570702	0
1054.5987962239394	6.71423422177253	0
1029.3848149332355	6.127899549030161	0
1173.2824384460778	6.18654792056457	0
1088.7111849756732	3.635918817807892	0
1103.3764102343962	7.104191466404149	0
1028.7625906893272	2.8972234058115784	0
1072.780863773741	5.880285640700405	0
1105.5461294854933	8.285683438714969	0
1042.4503211288848	3.514195512303967	0
1118.7849009172835	4.150553405595842	0
1069.9680655040597	5.1494770476314615	0
1085.4153125103362	4.244786518825701	0
1069.9146693885302	2.6740048534008007	0
1192.6139092254468	5.102844462209041	0
1099.3251387631033	3.4065444294108427	0
1047.114453552205	5.710388645952772	0
1141.1272456051595	3.620863648649295	0
1038.957817501449	7.324901607526309	0
1110.4431797502377	3.825120061495644	0
1002.0164938060112	4.516907725691486	0
1033.5906975550786	6.220275826054505	0
1109.8430617934562	3.153703525349067	0
1136.9233289997705	5.341189901906194	0
1108.5684140594985	6.960714131423642	0
1094.2175858805879	2.5887751481581587	0
1084.9448152205355	5.276950787798456	0
1026.0739004816287	5.389824191372635	0
1064.0077895802647	6.172734307665966	0
1076.9680614520107	3.144573933682877	0
1152.8561113109458	3.0193150803735858	0
1117.1809144784231	5.782912348425347	0
1011.8479922318633	5.445477009849779	0
1116.2041984697398	5.375739275518815	0
1080.745885979184	5.519672314245463	0
1066.153899984702	3.979962917632264	0
1130.5838144420434	5.348380545741505	0
1151.5499761247975	5.439608709948022	0
