Surface Roughness (µm)	Dimensional Deviation (mm)	Pass/Fail
1.2483570765056164	0.029231462897479285	0
0.9308678494144077	0.07896773386173206	0
1.3238442690503462	0.08286427417366153	0
1.7615149282040128	0.059886136538919055	1
0.882923312638332	0.09193571441669955	0
0.8829315215254098	0.12020254284072693	0
1.7896064077536957	0.19430929506052652	1
1.3837173645764544	0.10872889064159195	0
0.7652628070325239	0.11287751953613823	0
1.2712800217929823	0.09627770421169164	0
0.7682911535937689	0.004061439235047926	0
0.7671351232148715	0.09867430622753916	0
1.120981135783017	0.10301151049705133	0
0.043359877671101055	0.2231621056242643	1
0.13754108374348362	0.09038195176094388	0
0.7188562353795136	0.11507736711668062	0
0.4935844398327881	0.09826441151473785	0
1.157123666297637	0.0415660981190234	0
0.5459879622393946	0.15714114072575103	0
0.29384814933235426	0.1375966516343387	0
1.732824384460777	0.13955159735215236	1
0.8871118497567322	0.05453062726026306	0
1.0337641023439619	0.17013971554680496	0
0.2876259068932716	0.02990744686038596	0
0.7278086377374087	0.12934285469001353	0
1.0554612948549331	0.20952278129049895	1
0.4245032112888486	0.050473183743465586	0
1.187849009172836	0.07168511351986141	0
0.6996806550405975	0.10498256825438207	0
0.8541531251033616	0.07482621729419005	0
0.6991466938853015	0.02246682844669337	0
1.926139092254469	0.10342814874030137	1
0.993251387631033	0.04688481431369476	0
0.4711445355220498	0.12367962153175908	0
1.4112724560515946	0.05402878828830984	0
0.3895781750144889	0.17749672025087698	0
1.1044317975023776	0.06083733538318815	0
0.020164938060112214	0.08389692418971623	0
0.33590697555078475	0.1406758608684835	0
1.0984306179345618	0.03845678417830224	0
1.3692332899977053	0.11137299673020648	0
1.0856841405949853	0.16535713771412142	0
0.9421758588058797	0.019625838271938617	0
0.8494481522053556	0.10923169292661522	0
0.2607390048162863	0.11299413971242118	0
0.6400778958026456	0.13909114358886554	0
0.7696806145201063	0.03815246445609591	0
1.5285611131094579	0.03397716934578619	1
1.1718091447842307	0.12609707828084488	0
0.11847992231863302	0.1148492336616593	0
1.1620419846973975	0.11252464251729383	0
0.8074588597918417	0.11732241047484879	0
0.6615389998470207	0.06599876392107545	0
1.3058381444204339	0.11161268485805018	0
1.5154997612479755	0.11465362366493406	1
1.4656400595580994	0.06428242909868162	0
0.5803912383886807	0.19328872555723783	0
0.8453938120743927	0.12369164604558938	0
1.165631715701782	0.04043482513986757	0
1.4877725635611796	0.1328276804316915	0
0.760412881077355	0.051265916488633934	0
0.9071705116680915	0.13935423018712262	0
0.4468325129969859	0.15792977895037022	0
0.4018966879596646	0.05896588408241448	0
1.406262911197099	0.14816880646221608	0
1.6781200142854114	0.12063904634682493	1
0.963994939209833	0.1411030079997245	0
1.501766448946012	0.19483964913269738	1
1.180818012523817	0.08773059419985649	0
0.6774401226974378	0.06231319178212552	0
1.180697802754207	0.05552427851872384	0
1.7690182832329846	0.05920948575172809	1
0.9820869804450242	0.0961449145292948	0
1.782321827907003	0.1170575987408322	1
-0.3098725520448722	0.11383453996650096	0
1.410951252187612	0.1413591624518012	0
1.0435235341190856	0.10065009459389536	0
0.8504963247670663	0.17267670385786585	0
1.0458803882677512	0.0867671583381022	0
0.0062155426995536	0.23600845832948095	1
0.890164056081244	0.1312833673882503	0
1.1785562857558731	0.05714212217918588	0
1.7389470223707582	0.04645537509694439	1
0.7408648908631763	0.12412362076215927	0
0.5957531985534061	0.08882686073370746	0
0.7491214782077318	0.1357000247046046	0
1.457701058851037	0.12366188122867725	0
1.1643755548298422	0.09635855436715637	0
0.7351198981164806	0.057660314096579755	0
1.256633716556678	0.024257638765706774	0
1.0485387746740202	0.07767425239664895	0
1.4843224952664447	0.14281993971617363	0
0.6489734530613238	0.11070468720651021	0
0.8361689267011159	0.0377130610644006	0
0.8039459234339212	0.10865904629255911	0
0.2682425259339407	0.11926586898644184	0
1.148060138532288	0.05580712818994335	0
1.1305276360899446	0.1076862552972764	0
1.0025567283212304	0.1029104359223	0
0.8827064333124266	0.04285148510846885	0
